id,video,tournament,round,year,month,day,set,duration,winner,loser,downcourt,db,url
1,Ng Ka Long Angus Lee Cheuk Yiu YONEX Thailand Open 2021 QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,2021,1,15,2,44,NG Ka Long Angus,LEE Cheuk Yiu,1,0,https://www.youtube.com/watch?v=rSK9Qx8LapE
2,Carolina Marin An Se Young HSBC BWF WORLD TOUR FINALS 2020 QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,2021,1,29,3,55,An Se Young,Carolina MARIN,1,0,https://www.youtube.com/watch?v=OH6dnTXhZy4
3,Anthony Sinisuka Ginting Lee Zii Jia HSBC BWF WORLD TOUR FINALS 2020 QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,2021,1,29,3,50,Anthony Sinisuka GINTING,LEE Zii Jia,1,0,https://www.youtube.com/watch?v=XYY6YXv6Nss
4,Ng Ka Long Angus Kidambi Srikanth HSBC BWF WORLD TOUR FINALS 2020 QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,2021,1,29,3,65,NG Ka Long Angus,KIDAMBI Srikanth,1,0,https://www.youtube.com/watch?v=yr2JQTdzNjY
5,Pusarla V. Sindhu Pornpawee Chochuwong HSBC BWF WORLD TOUR FINALS 2020 QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,2021,1,29,2,42,PUSARLA V. Sindhu,Pornpawee CHOCHUWONG,0,0,https://www.youtube.com/watch?v=Mawo3l3Hb9E
6,Carolina Marin Pornpawee Chochuwong HSBC BWF WORLD TOUR FINALS 2020 SemiFinals,HSBC BWF WORLD TOUR FINALS 2020,Semi-finals,2021,1,30,2,40,Carolina MARIN,Pornpawee CHOCHUWONG,0,0,https://www.youtube.com/watch?v=vfzkc3lFTdM
7,Anders Antonsen Viktor Axelsen HSBC BWF WORLD TOUR FINALS 2020 Finals,HSBC BWF WORLD TOUR FINALS 2020,Finals,2021,1,31,3,60,Anders ANTONSEN,Viktor AXELSEN,0,0,https://www.youtube.com/watch?v=j7_cjmJDYNU
8,Lakshya SEN LOH Kean Yew YONEX SUNRISE India Open 2022  Finals,YONEX-SUNRISE India Open 2022,Finals,2022.0,1.0,16.0,2,54,Lakshya SEN,LOH Kean Yew,1.0,0.0,https://www.youtube.com/watch?v=7_O5r9CLOVw
9,Kunlavut VITIDSARN LEE Zii Jia YONEX GAINWARD German Open 2022 SemiFinals,YONEX GAINWARD German Open 2022,Semi-finals,2022.0,3.0,12.0,2,43,Kunlavut VITIDSARN,LEE Zii Jia,1.0,0.0,https://www.youtube.com/watch?v=44uw3YUvKhc
10,Akane YAMAGUCHI AN Seyoung YONEX All England Open Badminton Championships 2022 Finals,YONEX All England Open Badminton Championships 2022,Finals,2022.0,3.0,20.0,2,44,Akane YAMAGUCHI,An Se Young,1.0,0.0,https://www.youtube.com/watch?v=bR80_ydY0Is
11,Viktor AXELSEN Lakshya SEN YONEX All England Open 2022 Finals,YONEX All England Open Badminton Championships 2022,Finals,2022.0,3.0,20.0,2,53,Viktor AXELSEN,Lakshya SEN,0.0,0.0,https://www.youtube.com/watch?v=qkhmuCNrsNI
12,AN Seyoung PUSARLA V. Sindhu Korea Open Badminton Championships 2022 Semi Final,Korea Open Badminton Championships 2022,Semi-finals,2022.0,4.0,9.0,2,48,An Se Young,PUSARLA V. Sindhu,1.0,0.0,https://www.youtube.com/watch?v=7twuaoi-NCo
13,He Bing Jiao Chen Yu Fei GWANGJU YONEX Korea Masters 2022 Final,GWANGJU YONEX Korea Masters 2022,Finals,2022.0,4.0,17.0,3,63,HE Bingjiao,CHEN Yufei,0.0,0.0,https://www.youtube.com/watch?v=yAhaun3PLJA
14,LEE Zii Jia Kento MOMOTA Tota Energies BWF Thomas and Uber Cup Finals 2022 Group D Trim,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Group-Stage,2022.0,5.0,11.0,2,46,LEE Zii Jia,Kento MOMOTA,0.0,0.0,https://www.youtube.com/watch?v=OeJiMqAiVis&t=797
15,AN Se Young Akane YAMAGUCHI TotalEnergies BWF Thomas and Uber Cup Finals 2022 Semifinals,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Semi-finals,2022.0,5.0,13.0,3,63,An Se Young,Akane YAMAGUCHI,0.0,0.0,https://www.youtube.com/watch?v=NfrOuB5UTdI
